,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,,
289,"1102 - 3077 Weston Rd N, Toronto (W4485326) | Zoocasa","459,900","459,900",3,2,1100,1,,
290,"710 - 177 Linus Rd, Toronto (C4489748) | Zoocasa","440,000","455,000",2,2,950,1,,
294,"1426 - 38 Joe Shuster Way, Toronto (C4511184) | Zoocasa","555,000","499,000",2,1,650,1,,
295,"1605 - 105 George St, Toronto (C4499579) | Zoocasa","840,000","799,888",2,2,850,1,,
299,"602 - 1 Leaside Park Dr, Toronto (C4513009) | Zoocasa","415,000","399,800",1,1,750,1,,
301,"714 - 2522 Keele St, Toronto (W4501960) | Zoocasa","422,450","429,800",1,1,550,1,,
304,"823 - 80 Esther Lorrie Dr, Toronto (W4499754) | Zoocasa","334,000","333,289",1,1,550,1,,
307,"113 Jenny Wrenway Way, Toronto (C4459527) | Zoocasa","696,000","729,000",3,2,1700,1,,
311,"Th#10 - 18 Graydon Hall Dr, Toronto (C4419618) | Zoocasa","720,000","769,000",3,3,1300,1,,
312,"31 Tilden Cres, Toronto (W4509425) | Zoocasa","820,000","749,900",3,1,N/A ,2,,
315,"710 - 21 Carlton St, Toronto (C4500791) | Zoocasa","740,000","750,000",2,2,850,1,,
316,"504 - 508 Wellington St, Toronto (C4514568) | Zoocasa","525,000","499,900",1,1,550,0,,
318,"2808 - 70 Forest Manor Rd, Toronto (C4487456) | Zoocasa","673,000","698,800",2,2,1100,1,,
320,"693 Milverton Blvd, Toronto (E4518546) | Zoocasa","996,000","849,000",3,2,N/A ,1,,
327,"1102 - 3077 Weston Rd N, Toronto (W4485326) | Zoocasa","459,900","459,900",3,2,1100,1,,
330,"427 Melita Cres, Toronto (C4511771) | Zoocasa","815,000","769,000",2,2,N/A ,1,,
335,"405 - 783 Bathurst St, Toronto (C4511589) | Zoocasa","602,500","499,900",1,1,550,0,,
339,"505 - 100 Upper Madison Ave, Toronto (C4509887) | Zoocasa","571,000","499,900",2,2,950,1,,
340,"31 Tilden Cres, Toronto (W4509425) | Zoocasa","820,000","749,900",3,1,N/A ,2,,
344,"Th#10 - 18 Graydon Hall Dr, Toronto (C4419618) | Zoocasa","720,000","769,000",3,3,1300,1,,
345,"71 Orangewood Cres, Toronto (E4469664) | Zoocasa","1,080,000","1,249,880",3,2,N/A ,4,,
346,"808 - 5162 Yonge St, Toronto (C4506921) | Zoocasa","617,000","619,000",1,1,550,1,,
353,"Ph 103 - 5 Emerald Lane, Vaughan (N4480510) | Zoocasa","462,000","479,000",2,1,750,1,,
354,"816 - 100 Dundalk Dr, Toronto (E4492861) | Zoocasa","309,000","279,800",2,1,750,1,,
355,"602 - 11 Superior Ave, Toronto (W4509750) | Zoocasa","509,000","519,900",1,1,750,1,,
359,"405 - 783 Bathurst St, Toronto (C4511589) | Zoocasa","602,500","499,900",1,1,550,0,,
360,"70 - 703 Burnhamthorpe Rd, Toronto (W4492506) | Zoocasa","569,500","574,500",3,2,1300,1,,
361,"95 Brooklyn Ave, Toronto (E4510335) | Zoocasa","1,150,000","999,900",3,2,1300,2,,
362,"Ph 3707 - 50 Brian Harrison Way, Toronto (E4510478) | Zoocasa","562,000","562,000",3,2,850,1,,
364,"710 - 177 Linus Rd, Toronto (C4489748) | Zoocasa","440,000","455,000",2,2,950,1,,
365,"2530 - 700 Humberwood Blvd, Toronto (W4493942) | Zoocasa","448,500","449,900",2,1,750,1,,
367,"113 Jenny Wrenway Way, Toronto (C4459527) | Zoocasa","696,000","729,000",3,2,1700,1,,
374,"31 Dunkirk Rd, Toronto (E4509767) | Zoocasa","850,000","799,000",3,2,N/A ,1,,
378,"693 Milverton Blvd, Toronto (E4518546) | Zoocasa","996,000","849,000",3,2,N/A ,1,,
379,"808 - 5162 Yonge St, Toronto (C4506921) | Zoocasa","617,000","619,000",1,1,550,1,,
380,"71 Orangewood Cres, Toronto (E4469664) | Zoocasa","1,080,000","1,249,880",3,2,N/A ,4,,
382,"56 Highcroft Rd, Toronto (E4511335) | Zoocasa","1,140,000","1,049,000",3,2,N/A ,1,,
386,"4104 - 2200 Lake Shore Blvd W, Toronto (W4512818) | Zoocasa","615,000","615,000",2,2,750,1,,
387,"1426 - 38 Joe Shuster Way, Toronto (C4511184) | Zoocasa","555,000","499,000",2,1,650,1,,
388,"1605 - 105 George St, Toronto (C4499579) | Zoocasa","840,000","799,888",2,2,850,1,,
389,"618 St Clarens Ave, Toronto (W4515679) | Zoocasa","948,000","950,000",4,2,N/A ,2,,
393,"602 - 1 Leaside Park Dr, Toronto (C4513009) | Zoocasa","415,000","399,800",1,1,750,1,,
394,"305 - 10 Markbrook Lane, Toronto (W4512476) | Zoocasa","380,000","359,900",2,2,1100,1,,
396,"1B Heathdale Rd, Toronto (C4503275) | Zoocasa","1,260,000","1,289,000",3,4,1750,1,,
397,"70 - 703 Burnhamthorpe Rd, Toronto (W4492506) | Zoocasa","569,500","574,500",3,2,1300,1,,
400,"427 Melita Cres, Toronto (C4511771) | Zoocasa","815,000","769,000",2,2,N/A ,1,,
401,"Th#10 - 18 Graydon Hall Dr, Toronto (C4419618) | Zoocasa","720,000","769,000",3,3,1300,1,,
402,"2305 - 88 Corporate Dr, Toronto (E4478773) | Zoocasa","390,000","399,900",1,1,750,1,,
405,"1603 - 12 Sudbury St, Toronto (C4511088) | Zoocasa","955,000","899,000",3,2,1300,1,,
406,"505 - 100 Upper Madison Ave, Toronto (C4509887) | Zoocasa","571,000","499,900",2,2,950,1,,
408,"305 - 10 Markbrook Lane, Toronto (W4512476) | Zoocasa","380,000","359,900",2,2,1100,1,,
412,"18 - 50 Silverbell Grve, Toronto (E4499722) | Zoocasa","520,000","499,000",4,3,1100,1,,
414,"202 - 70 Distillery Lane, Toronto (C4510263) | Zoocasa","672,100","649,000",1,1,750,1,,
415,"1019 - 33 Harbour Sq, Toronto (C4508428) | Zoocasa","537,000","549,900",1,1,550,1,,
416,"25A Elford Blvd, Toronto (W4508529) | Zoocasa","1,480,000","1,495,000",3,4,2750,2,,
417,"1709 - 300 Front St, Toronto (C4493446) | Zoocasa","635,000","669,900",1,1,650,0,,
420,"455 Melita Cres, Toronto (C4515860) | Zoocasa","835,000","799,900",3,2,N/A ,1,,
422,"210 - 28 Byng Ave, Toronto - 589,000 (C4495141) | Zoocasa",,,,,,,,
427,"703 - 11 Superior Ave, Toronto (W4511357) | Zoocasa","433,000","429,900",1,1,550,0,,
428,"1011 - 5 Frith Rd, Toronto (W4510028) | Zoocasa","215,000","212,000",1,1,750,1,,
431,"1205 - 231 Fort York Blvd, Toronto (C4510449) | Zoocasa","551,000","499,900",1,1,550,1,,
432,"608 - 32 Trolley Cres, Toronto (C4503132) | Zoocasa","856,000","799,000",2,2,950,1,,
433,"120 Cambridge Ave, Toronto (E4511185) | Zoocasa","1,060,000","899,000",3,1,N/A ,0,,
434,"102 - 1200 Don Mills Rd, Toronto (C4511256) | Zoocasa","650,000","648,800",2,1,1100,2,,
435,"1205 - 231 Fort York Blvd, Toronto (C4510449) | Zoocasa","551,000","499,900",1,1,550,1,,
436,"2101 - 89 Mcgill St, Toronto (C4492866) | Zoocasa","564,000","565,000",1,1,250,0,,
439,"989 St Clarens Ave, Toronto (W4454138) | Zoocasa","1,220,000","1,289,000",4,5,2250,2,,
440,"1709 - 300 Front St, Toronto (C4493446) | Zoocasa","635,000","669,900",1,1,650,0,,
442,"1805 - 44 St. Joseph St, Toronto (C4511432) | Zoocasa","464,900","464,900",1,1,550,0,,
443,"2003 - 15 Windermere Ave, Toronto (W4510403) | Zoocasa","472,000","459,900",1,1,550,1,,
447,"505 - 10 Sunny Glen Way, Toronto (C4493506) | Zoocasa","357,000","372,000",2,1,750,1,,
449,"18 - 50 Silverbell Grve, Toronto (E4499722) | Zoocasa","520,000","499,000",4,3,1100,1,,
456,"202 - 70 Distillery Lane, Toronto (C4510263) | Zoocasa","672,100","649,000",1,1,750,1,,
457,"608 - 32 Trolley Cres, Toronto (C4503132) | Zoocasa","856,000","799,000",2,2,950,1,,
458,"120 Cambridge Ave, Toronto (E4511185) | Zoocasa","1,060,000","899,000",3,1,N/A ,0,,
459,"299 Maria St, Toronto (W4512784) | Zoocasa","702,000","649,900",3,2,N/A ,1,,
460,"1805 - 44 St. Joseph St, Toronto (C4511432) | Zoocasa","464,900","464,900",1,1,550,0,,
462,"3509 - 2015 Sheppard Ave E, Toronto (C4504212) | Zoocasa","630,000","629,000",2,2,850,1,,
463,"2405 - 100 Antibes Dr, Toronto (C4512424) | Zoocasa","450,000","459,000",2,2,1100,1,,
464,"203 - 88 Sheppard Ave E, Toronto (C4513167) | Zoocasa","460,000","480,000",1,1,550,0,,
471,"41 Snowdon Ave, Toronto (C4497618) | Zoocasa","2,170,000","2,249,000",3,5,N/A ,1,,
473,"1205 - 150 Neptune Dr, Toronto (C4495468) | Zoocasa","490,000","499,900",3,2,1300,1,,
474,"505 - 10 Sunny Glen Way, Toronto (C4493506) | Zoocasa","357,000","372,000",2,1,750,1,,
476,"401 - 70 Mill St, Toronto (C4510386) | Zoocasa","772,500","775,000",3,2,1100,0,,
477,"23 Lee Ave, Toronto (E4511309) | Zoocasa","2,065,000","2,051,000",3,3,N/A ,1,,
478,"1310 - 17 Zorra St, Toronto (W4490669) | Zoocasa","419,000","429,900",1,1,250,1,,
480,"703 - 11 Superior Ave, Toronto (W4511357) | Zoocasa","433,000","429,900",1,1,550,0,,
482,"2405 - 100 Antibes Dr, Toronto (C4512424) | Zoocasa","450,000","459,000",2,2,1100,1,,
